Card Number,Card Name,Suit,Arcana,Numerical Value,Element,Astrological Association,Keywords,Upright Meaning,Reversed Meaning,Symbolism,Affirmation,Traditional Interpretation,Modern Interpretation,Mythological Connection,Numerology,Chakra Association,Rider-Waite Description,Alternative Deck Descriptions,Card Image Description
0,The Fool,Major Arcana,Major,0,Air,Uranus,"Beginnings, innocence, spontaneity","New beginnings, optimism, trust in the universe","Recklessness, naïveté, being taken advantage of","White rose (purity), cliff (risk), dog (loyalty)","""I embrace new beginnings with open arms.""",The start of a journey or a leap of faith.,Embracing a new life path or career change.,Linked to the myth of Icarus.,The number 0 signifies potential and infinite possibilities.,Crown Chakra,Depicts a carefree traveler about to step off a cliff.,Thoth deck portrays the Fool with cosmic elements.,A young man stands at the edge of a cliff with a small dog.
1,The Magician,Major Arcana,Major,1,Air,Mercury,"Manifestation, resourcefulness, power","Skill, logic, and intellect applied to a goal.","Manipulation, poor planning, latent talents.","Infinity symbol (eternity), tools (resources), snake biting its tail (renewal)","""I have all the resources I need to achieve my goals.""",Harnessing one's own abilities to bring dreams to fruition.,Using modern tools and technology to achieve success.,"Associated with Hermes, the messenger god.",The number 1 represents new beginnings and unity.,Throat Chakra,Shows a figure with one hand pointing to the sky and the other to the earth.,"In some decks, the Magician is shown juggling elements of nature.","A figure with various magical tools stands before a table, pointing to the heavens and the earth."
2,The High Priestess,Major Arcana,Major,2,Water,Moon,"Intuition, mystery, spirituality","Listening to inner wisdom, seeking spiritual knowledge.","Secrets, disconnection from intuition, superficial knowledge.","Scroll (knowledge), pomegranates (fertility), moon (intuition)","""I trust my inner voice and the wisdom it brings.""",Embracing the mysteries and unknown aspects of life.,Using intuition and gut feelings in decision making.,"Linked to Persephone, queen of the underworld.","The number 2 signifies balance, duality, and reflection.",Third Eye Chakra,"Depicts a serene woman seated between two pillars, holding a scroll.",Some decks show the High Priestess with a veil representing hidden knowledge.,"A seated woman between two pillars, holding a scroll with the word 'Tora'."
3,The Empress,Major Arcana,Major,3,Earth,Venus,"Abundance, nurturing, creativity","Fertility, growth, and nurturing energy.","Dependence, creative block, overindulgence.","Wheat (prosperity), crown of stars (divine connection), shield (protection)","""I am abundant and nurturing in all aspects of my life.""","Representing motherhood, creation, and abundance.",Emphasizing personal growth and nurturing one's ideas.,"Associated with Demeter, the goddess of the harvest.","The number 3 represents creativity, growth, and expansion.",Heart Chakra,"Shows a crowned woman in a lush, fertile landscape with a scepter.","In some decks, the Empress is surrounded by symbols of fertility and nature.","A crowned woman seated on a throne in a lush garden, holding a scepter."
4,The Emperor,Major Arcana,Major,4,Fire,Aries,"Authority, structure, control","Stability, leadership, and establishing order.","Tyranny, rigidity, lack of discipline.","Ram (power), scepter (authority), throne (stability)","""I embody authority and structure in my life.""",Symbolizing leadership and the enforcement of laws.,Representing strong leadership and taking control of one's path.,"Linked to Zeus, king of the gods.","The number 4 signifies stability, structure, and foundation.",Solar Plexus Chakra,Depicts a stern man seated on a stone throne adorned with ram heads.,"In other decks, the Emperor is shown as a commanding figure with symbols of power.","A bearded man in royal attire seated on a throne, holding a scepter."
45,Ten of Cups,Cups,Minor,10,Water,Mars in Pisces,"Harmony, fulfillment, joy","Emotional fulfillment, harmony, and a sense of complete joy and happiness.","Disconnection, family troubles, and lack of emotional fulfillment.","Ten cups (abundance), rainbow (joy), family (harmony)","""I am surrounded by joy, love, and emotional fulfillment in all aspects of my life.""",Representing the culmination of emotional fulfillment and the harmony of family life.,"Emphasizing the importance of joy, love, and emotional abundance in personal and family life.","Linked to the happy endings in mythological tales, like the reunion of Odysseus with his family.","The number 10 signifies completion, fulfillment, and the joy of achievement.",Heart Chakra,"Depicts a happy family standing together, arms raised, under a rainbow of ten cups, with a peaceful landscape in the background.","In some decks, the Ten of Cups is shown as a scene of ultimate happiness and emotional fulfillment.","A happy family standing together under a rainbow of ten cups, with a peaceful landscape, symbolizing joy and fulfillment."
46,Page of Cups,Cups,Minor,11,Water,Earth of Water,"Creativity, intuition, beginnings","Creative inspiration, intuitive insights, and new emotional beginnings.","Emotional immaturity, lack of creativity, and blocked intuition.","Cup (emotion), fish (intuition), water (creativity)","""I embrace new creative and emotional beginnings with open-hearted curiosity.""",Representing the start of new emotional or creative endeavors and the excitement of fresh experiences.,Emphasizing the importance of tapping into one's creativity and intuition to explore new possibilities.,Linked to youthful and creative figures like Puck from Shakespeare's plays.,"The Page signifies new beginnings, creativity, and the exploration of emotions.",Heart Chakra,"Depicts a young figure holding a cup from which a fish emerges, standing by the water, symbolizing new creative and emotional beginnings.","In some decks, the Page of Cups is shown as a youthful figure or scene filled with symbols of creativity and intuition.","A young figure holding a cup with a fish emerging from it, standing by the water, symbolizing creativity and new beginnings."
47,Knight of Cups,Cups,Minor,12,Water,Air of Water,"Romance, adventure, idealism","Romantic pursuit, idealistic visions, and a quest for emotional and creative fulfillment.","Overindulgence in fantasies, moodiness, and unrealistic expectations.","Knight (action), horse (movement), cup (emotion)","""I pursue my dreams and ideals with passion and an open heart.""","Representing the quest for love, adventure, and the pursuit of one's dreams.",Emphasizing the importance of following one's heart and seeking emotional and creative fulfillment.,"Associated with the romantic and chivalrous knights of legends, such as Lancelot.","The Knight signifies action, pursuit of ideals, and the journey towards emotional and creative goals.",Heart Chakra,"Depicts a knight riding a horse, holding a cup, moving forward with grace and determination.","In some decks, the Knight of Cups is shown as a romantic figure on a quest for emotional or creative fulfillment.","A knight riding a horse, holding a cup, moving forward with grace and determination, symbolizing romance and adventure."
48,Queen of Cups,Cups,Minor,13,Water,Water of Water,"Compassion, intuition, nurturing","Compassion, deep intuition, and nurturing emotional support.","Emotional instability, codependency, and over-sensitivity.","Throne (authority), cup (emotion), water (intuition)","""I embody compassion, intuition, and nurturing in all my relationships.""",Representing the depth of emotional understanding and the ability to nurture and support others.,Emphasizing the power of compassion and intuition in creating supportive and nurturing environments.,"Linked to nurturing and wise figures like Demeter, the goddess of the harvest.","The Queen signifies nurturing, emotional depth, and the mastery of intuitive insights.",Heart Chakra,"Depicts a queen seated on a throne by the sea, holding a cup, looking into its depths with a calm and contemplative expression.","In some decks, the Queen of Cups is shown as a serene and nurturing figure, embodying deep emotional wisdom.","A queen seated on a throne by the sea, holding a cup and looking into its depths, symbolizing compassion and deep intuition."
49,King of Cups,Cups,Minor,14,Water,Fire of Water,"Balance, control, diplomacy","Emotional balance, control, and the ability to navigate complex feelings with diplomacy.","Emotional volatility, manipulation, and a lack of empathy.","Throne (authority), cup (emotion), calm sea (balance)","""I maintain emotional balance and navigate my emotions with wisdom and diplomacy.""",Representing the mastery of emotions and the ability to remain calm and balanced in all situations.,Emphasizing the importance of emotional intelligence and the ability to manage complex emotions with grace.,Associated with wise and balanced leaders like King Solomon.,"The King signifies emotional mastery, balance, and the ability to lead with empathy and understanding.",Heart Chakra,"Depicts a king seated on a throne by the sea, holding a cup, with a calm and controlled demeanor, symbolizing emotional mastery.","In some decks, the King of Cups is shown as a figure of emotional strength and balance, exuding wisdom and calm.","A king seated on a throne by the sea, holding a cup, with a calm and controlled demeanor, symbolizing balance and emotional mastery."
